id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
21,20,4.88644E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
22,21,4.25215E+15,04/23,success,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
23,22,4.82276E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
24,23,4.09045E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
25,24,4.17308E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
26,25,4.92012E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
27,26,4.74091E+15,04/23,refunded,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
28,27,4.97225E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
29,28,4.52087E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
30,29,4.08447E+15,04/23,refunded,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
31,30,4.09411E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
32,31,4.99398E+15,04/23,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
33,31,4.01078E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
34,32,4.51852E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
35,33,4.5043E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
36,34,4.25626E+15,04/23,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
37,34,4.98927E+15,04/23,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
38,34,4.90853E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
39,35,4.046E+15,04/23,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
40,35,4.92753E+15,04/23,failed,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
41,36,4.89157E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
42,37,4.11644E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
43,38,4.53025E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
44,39,4.19482E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
45,40,4.87339E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
46,41,4.9936E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
47,42,4.951E+15,04/23,refunded,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
48,43,4.84463E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
49,44,4.21107E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
50,45,4.23257E+15,04/23,success,2012-03-27 14:54:11 UTC,2012-03-27 14:54:11 UTC
51,46,4.51797E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
52,47,4.16894E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
53,48,4.99736E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
54,48,4.77786E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
55,49,4.79515E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
56,50,4.95683E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
57,51,4.18307E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
58,52,4.21866E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
59,53,4.93337E+15,04/23,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
60,53,4.4414E+15,04/23,failed,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
61,53,4.53725E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
62,54,4.74993E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
63,55,4.10504E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
64,56,4.91939E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
65,57,4.35314E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
66,58,4.52965E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
67,59,4.21932E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
68,60,4.08166E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
69,61,4.97067E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
70,62,4.61932E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
71,63,4.61165E+15,04/23,success,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
72,64,4.44608E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
73,65,4.87529E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
74,66,4.90893E+15,04/23,refunded,2012-03-27 14:54:12 UTC,2012-03-27 14:54:12 UTC
75,67,4.71471E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
76,68,4.25852E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
77,69,4.48468E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
78,70,4.2769E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
79,71,4.94033E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
80,72,4.28061E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
81,73,4.08558E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
82,74,4.41448E+15,04/23,failed,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
83,75,4.8849E+15,04/23,failed,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
84,75,4.3888E+15,04/23,failed,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
85,76,4.78805E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
86,77,4.2142E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
87,78,4.5524E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
88,79,4.6775E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
89,80,4.49228E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
90,81,4.86464E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
91,82,4.24613E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
92,83,4.16734E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
93,84,4.90743E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
94,85,4.09341E+15,04/23,refunded,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
95,86,4.7698E+15,04/23,success,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
96,87,4.07664E+15,04/23,refunded,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
97,88,4.33346E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
98,89,4.38824E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
99,90,4.20168E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
100,91,4.44859E+15,04/23,refunded,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
101,92,4.44775E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
102,93,4.46399E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
103,94,4.64461E+15,04/23,refunded,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
104,95,4.62193E+15,04/23,failed,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
105,95,4.04486E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
106,96,4.95172E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
107,97,4.82134E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
108,98,4.89942E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
109,99,4.64572E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
110,100,4.51763E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
111,101,4.0084E+15,04/23,refunded,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
112,102,4.3227E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
113,103,4.27647E+15,04/23,success,2012-03-27 14:54:14 UTC,2012-03-27 14:54:14 UTC
114,104,4.04191E+15,04/23,refunded,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
115,105,4.73261E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
116,106,4.1168E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
117,107,4.31571E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
118,108,4.58161E+15,04/23,refunded,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
119,108,4.56481E+15,04/23,refunded,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
120,108,4.62044E+15,04/23,refunded,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
121,109,4.8221E+15,04/23,failed,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
122,109,4.76312E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
123,110,4.8393E+15,04/23,refunded,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
124,111,4.53246E+15,04/23,refunded,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
125,112,4.36594E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
126,113,4.77151E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
127,114,4.42145E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
128,115,4.7957E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
129,116,4.76934E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
130,117,4.8674E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
131,118,4.17978E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
132,119,4.28096E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
133,120,4.12987E+15,04/23,failed,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
134,120,4.31925E+15,04/23,failed,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
135,120,4.30604E+15,04/23,success,2012-03-27 14:54:15 UTC,2012-03-27 14:54:15 UTC
136,121,4.83105E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
137,123,4.44221E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
138,124,4.70513E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
139,125,4.68581E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
140,126,4.99068E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
141,127,4.7814E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
142,128,4.3563E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
143,129,4.10993E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
144,130,4.69533E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
145,131,4.52804E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
146,132,4.74757E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
147,133,4.6868E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
148,134,4.46252E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
149,135,4.93069E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
150,136,4.75107E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
151,137,4.16888E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
152,138,4.57734E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
153,139,4.23812E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
154,140,4.1707E+15,04/23,refunded,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
155,141,4.72774E+15,04/23,failed,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
156,141,4.24293E+15,04/23,failed,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
157,141,4.21055E+15,04/23,success,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
158,142,4.07203E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
159,143,4.9704E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
160,144,4.05032E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
161,145,4.95654E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
162,146,4.91139E+15,04/23,failed,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
163,146,4.98918E+15,04/23,failed,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
164,147,4.31455E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
165,148,4.75569E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
166,149,4.62441E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
167,150,4.51099E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
168,151,4.13637E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
169,152,4.13622E+15,04/23,failed,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
170,152,4.9347E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
171,153,4.43337E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
172,154,4.65105E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
173,155,4.6888E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
174,156,4.88718E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
175,157,4.41044E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
176,158,4.67961E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
177,159,4.94105E+15,04/23,refunded,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
178,160,4.96539E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
179,161,4.5117E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
180,162,4.00335E+15,04/23,success,2012-03-27 14:54:17 UTC,2012-03-27 14:54:17 UTC
181,163,4.94389E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
182,165,4.22067E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
183,166,4.78218E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
184,167,4.07354E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
185,168,4.14291E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
186,169,4.66833E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
187,170,4.62142E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
188,171,4.3536E+15,04/23,failed,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
189,171,4.76494E+15,04/23,failed,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
190,171,4.01989E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
191,172,4.89061E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
192,173,4.12249E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
193,174,4.64211E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
194,175,4.85615E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
195,176,4.83278E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
196,177,4.41116E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
197,178,4.77805E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
198,179,4.48623E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
199,180,4.23511E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
200,181,4.54539E+15,04/23,failed,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
201,181,4.71852E+15,04/23,failed,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
202,181,4.73508E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
203,182,4.10669E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
204,183,4.91331E+15,04/23,success,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
205,184,4.00024E+15,04/23,refunded,2012-03-27 14:54:18 UTC,2012-03-27 14:54:18 UTC
206,185,4.41453E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
207,186,4.57786E+15,04/23,refunded,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
208,187,4.455E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
209,188,4.2914E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
210,189,4.20355E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
211,190,4.47536E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
212,191,4.54239E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
213,192,4.15149E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
214,193,4.43647E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
215,194,4.00436E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
216,195,4.34132E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
217,196,4.58789E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
218,197,4.20894E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
219,198,4.03551E+15,04/23,refunded,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
220,199,4.51373E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
221,200,4.09059E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
222,201,4.62506E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
223,202,4.56705E+15,04/23,refunded,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
224,203,4.06343E+15,04/23,failed,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
225,203,4.36529E+15,04/23,failed,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
226,203,4.08021E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
227,204,4.02746E+15,04/23,failed,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
228,204,4.35266E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
229,205,4.1788E+15,04/23,success,2012-03-27 14:54:19 UTC,2012-03-27 14:54:19 UTC
230,206,4.79772E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
231,207,4.7442E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
232,208,4.83906E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
233,209,4.84594E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
234,210,4.64753E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
235,211,4.13257E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
236,212,4.3572E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
237,213,4.8489E+15,04/23,failed,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
238,213,4.78844E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
239,214,4.25585E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
240,215,4.58079E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
241,216,4.98954E+15,04/23,failed,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
242,216,4.60226E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
243,217,4.29765E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
244,218,4.41731E+15,04/23,refunded,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
245,219,4.14702E+15,04/23,failed,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
246,219,4.65385E+15,04/23,failed,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
247,219,4.63964E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
248,220,4.99634E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
249,221,4.9423E+15,04/23,failed,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
250,221,4.98678E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
251,222,4.77564E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
252,223,4.92428E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
253,224,4.14729E+15,04/23,success,2012-03-27 14:54:20 UTC,2012-03-27 14:54:20 UTC
254,225,4.69769E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
255,226,4.23656E+15,04/23,success,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
256,227,4.47979E+15,04/23,success,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
257,228,4.05813E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
258,229,4.62327E+15,04/23,success,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
259,230,4.62317E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
260,231,4.46214E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
261,231,4.89204E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
262,231,4.74262E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
263,232,4.45812E+15,04/23,refunded,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
264,233,4.80091E+15,04/23,success,2012-03-27 14:54:21 UTC,2012-03-27 14:54:21 UTC
